#tag,from-frame,to-frame
accessories,0,0
turnaround,1,8
run,9,16
run_dir_change,17,18
bat_charge,19,24
bat,25,25
bat_recover,27,28
bat_diag_charge,29,34
bat_diag,35,35
bat_diag_recover,37,38
bat_up_charge,39,44
bat_up,45,45
bat_up_recover,47,48
bat_diag-down,49,49
bat_diag-down_recover,51,52
bat_down_charge,53,53
bat_down,54,54
bat_down_recover,55,56
jump_up-right,57,58
jump_up,59,60
jump_launch,59,59
jump_up_to_down_transition,61,61
jump_down_arms-out,62,63
jump_down,64,65
jump_somersault,66,73
stand_right,74,74
wallslide,75,76
wallslide_jump,77,77
hit_recovered,78,79
impact,80,81
hit_fly,82,83
hit_comet,84,87
skid_land,88,88
skid,89,90
skid_recover,91,91
hit_spin,92,99
hit_rotate,100,107
idle,108,112
idle_transition,108,108
idle_loop,109,112
win_transition,113,114
win,115,117
burp-start,118,121
burp-loop,122,124
throw_charge,125,126
throw,127,128
throw_up-right_charge,129,130
throw_up-right,131,132
throw_up_charge,133,134
throw_up,135,136
throw_down-right_charge,137,138
throw_down-right,139,140
throw_down-right_air_charge,141,142
throw_down-right_air,143,144
throw_down_charge,145,146
throw_down,147,148
throw_down_air_charge,149,150
throw_down_air,151,152
frog_tongue,153,153
frog_tongue_jump_up,154,154
frog_tongue_jump_down,155,155
frog_tongue_stunned,156,156
frog_blush,157,157
doge_coin_transition,158,158
doge_coin_powerup,159,162
doge_coin_spin,163,170
doge_swole_transition,171,172
doge_swole,173,174
alien_tea_start,175,175
alien_tea,176,179
alien_tea_turned,180,183
alien_tea_sip,184,184
ape_scratch-head_start,185,185
ape_scratch-head_look-fwd,186,187
ape_scratch-head_look-side,188,189
human_squat_start,190,190
human_squat_loop,191,192
frog_sit,193,193
frog_croak,194,196
cat_wiggle_start,197,197
cat_wiggle,198,201
cat_idle_excited,202,205
empty,206,206
