#index,swap-index,color-hex,color-rgb
00,74,0xbe4a2f,190-074-047
01,118,0xd77643,215-118-067
02,212,0xead4aa,234-212-170
03,166,0xe4a672,228-166-114
04,111,0xb86f50,184-111-080
05,62,0x733e39,115-062-057
06,39,0x3e2731,062-039-049
07,38,0xa22633,162-038-051
08,59,0xe43b44,228-059-068
09,119,0xf77722,247-119-034
10,174,0xfeae34,254-174-052
11,231,0xfee761,254-231-097
12,199,0x63c74d,099-199-077
13,137,0x3e8948,062-137-072
14,92,0x265c42,038-092-066
15,60,0x193c3e,025-060-062
16,78,0x124e89,018-078-137
17,153,0x0099db,000-153-219
18,232,0x2ce8f5,044-232-245
19,254,0xfefefe,254-254-254
20,203,0xc0cbdc,192-203-220
21,155,0x8b9bb4,139-155-180
22,105,0x5a6988,090-105-136
23,68,0x3a4466,058-068-102
24,43,0x262b44,038-043-068
25,20,0x181425,024-020-037
26,0,0xff0044,255-000-068
27,56,0x68386c,104-056-108
28,80,0xb55088,181-080-136
29,117,0xf6757a,246-117-122
30,183,0xe8b796,232-183-150
31,133,0xc28569,194-133-105
32,54,0x6b36ff,107-054-255
33,90,0xf45ae4,244-090-228
